Physical Activity,Day,Date,Journal,,,,,,,,,,,,,,,,,,,,,,,,
,Sunday,12/22/2024,"Watched Mad Max- furiosa, kong and godzilla, anyone but you, slept for a bit in flight. got a&w burgers for the ride good choice",,,,,,,,,,,,,,,,,,,,,,,,
,Monday,12/23/2024,"Went to the gym with yogi and ria first time, went to al bustan and got rias sangeet gown. went for mufasa in the evening, had nachos cheese and salsa over there, went to levant village. Had a shawarmam mixed mezze which was hummus khaboos tabouleh etc. slept",Gymmed,,,,,,,,,,,,,,,,,,,,,,,
,Tuesday,12/24/2024,"Went for staycation to marjan islands double tree by hilton. i drove. had seafood pasta, ria ordered wrong pasta for mama. went for swimming in 2 pools. went to the mini waterpark, came back home and I slept by 6:30ish. Had chinese food - paneer manchurian and rice and slept again, got up at 3am, rolled around the bed, got up at 7 then",Swam a lot,,,,,,,,,,,,,,,,,,,,,,,
,Wednesday,12/25/2024,"went for amazing breakfast, so much food, best of the year. Then went to beach and dove into the sea using the rope. came back showered and left to jabal jais, cool place. really different terrain of mountains. Had pistacchio kunafa chocolate up there, mama ria had maggi. Then while driving back there was a small incidient when I was driving..... Met advik in the afternoon with janam, came back, watched a bit of last of us and slept",,,,,,,,,,,,,,,,,,,,,,,,
,Thursday,12/26/2024,"Went for blood test in the morning, then went to dentist in sharjah and got wisdom tooth removed, had a burger from the cafeteria before extraction,had pasta and watched among us, ravi came and we met and had lunch, then ria and ravi started dancing. I went inside then came out and watched them dance. Das ended up coming to sahara. Picked him up and then went gaming cafe, played valo, fortnite. had kfc, slept",,,,,,,,,,,,,,,,,,,,,,,,
,Friday,12/27/2024,"Sorted finance and tuition stuff in the morning, Danced with kamal - Sweetie tera drama & galla goodiyan, then ravi came and they danced. Had lunch - gobi paratha and paneer and dahi, gymmed with ria and yogi, ps4 gave for fixing, doctor, had a kfc twister and chicken popcorn, went back home had salad and cutlet and slept",Gymmed,Doublr click on cell and itll appear full,,,,,,,,,,,,,,,,,,,,,,
,Saturday,12/28/2024,"Got up in the morning, watched match a bit, then went for a walk, came back watched more, changed then went for stomping grounds and had egg truffle and french toast, it was amazing. Saw rias place, gym and pool, then went back home, slept for 35 min, went to gym did back and bis, came back, showered, laid down and watched last of us with ria till7, had shawarma and chicken curry. Did shaadi stuff, wore sangeet nd haldi outfit, saw rias lehenga.",Gymmed back bis,,,,,,,,,,,,,,,,,,,,,,,
,Sunday,12/29/2024,"Ayush Umang and Co. came for dancing - Saturday & Gustak Dil. 4PM doctor, bought stuff and went home. Spoke to ani till 10ish and slept",,,,,,,,,,,,,,,,,,,,,,,,
,Monday,12/30/2024,"Met shubham in the evening - 8:30ish. Ani got really sick :(. Played fifa with shubham and had shawarma and chilled. In the morning tried to go amritsar but went to tamasha. Then went for haircut to oud metha, then wuickly went back home to train with yogi. Slept in the evening Then met shubham",Gymmed - Shoulders,,,,,,,,,,,,,,,,,,,,,,,
,Tuesday,12/31/2024,"Had pav bhaji, gymmed. Evening went to Zabeel Park. Did Secret Santa, met irene kishore, bua pupaji, ayush, rohan, priyanka, ravi viral for ny. Played bit of football, badminton, lots of fun. Then went inside and danced. Had some loaded fries, pizza, sugarcane juice, kulfi, watched amazing fireworks. came back and slept",Gymmed - arms,,,,,,,,,,,,,,,,,,,,,,,
,Wednesday,01/01/2025,"Woke up 8:30ish. laid next to mama papa, had leftover pav bhaji, went to sahara and bought some clothes, bought hdmi cable and stuff. watched bit of dil chahta hai and had chinchaus, watched bit of lost in the mountains of maine. Then slept for a bit. Went jumeriah in the evening, nose really blocked really windy, saw beach and chilled around there, listened to music. Came back, spoke to ani till 3-4 am and applied for some jobs.",,,,,,,,,,,,,,,,,,,,,,,,
,Thursday,01/02/2025,,Gymmed - legs,,,,,,,,,,,,,,,,,,,,,,,
,Friday,01/03/2025,"Met all guys at night, gaming cafe, biriyani, had kfc too. had so so much fun",,,,,,,,,,,,,,,,,,,,,,,,
,Saturday,01/04/2025,"Went out to ayushs place, played sequence and had amazing food, went for bowling to brass monkey and then the arcade games. Then went to city walk and had ice cream. Went to buas place then and played fifa with Rohan and Ayush and has mcds",,,,,,,,,,,,,,,,,,,,,,,,
,Sunday,01/05/2025,"Packed at home, slept and spent time with fam. Had chole for dinner and tamasha for lunch.",,,,,,,,,,,,,,,,,,,,,,,,
,Monday,01/06/2025,"Went for flight. watched squid game. looked at all my texts with pookie. slept a bit. played subway surfers. Met tariq and sid in the beginning of the day. went back to ubc with tariq. Set up my room and then slept for an hour, showered, class, met pookie and kissed her so much. Had food at grand noodle and pookie got an o henry. Went to my place cuddled and then went to her place. slept then had cereal twice that day",,,,,,,,,,,,,,,,,,,,,,,,
,Tuesday,01/07/2025,"Woke up at loves, watched her get ready. Went for class to life, went for econ, prof was really good. Met Afif. Went to loafe and met nubbhs mom, sis, sunny and angelina. Went for class, met suhani. went for grocery shopping, got nice stuff and looking to cook lots this term. Met dwayne gave his shit. Set ps4 and ate subway. Went to pookies, had cereal, spoke a lot. slept with pookie.",,,,,,,,,,,,,,,,,,,,,,,,
,Wednesday,01/08/2025,,,,,,,,,,,,,,,,,,,,,,,,,
,Thursday,01/09/2025,,,,,,,,,,,,,,,,,,,,,,,,,
,Friday,01/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,
,Saturday,01/11/2025,,,,,,,,,,,,,,,,,,,,,,,,,
,Sunday,01/12/2025,,,,,,,,,,,,,,,,,,,,,,,,,
,Monday,01/13/2025,,,,,,,,,,,,,,,,,,,,,,,,,
,Tuesday,01/14/2025,Got my CFA result in the morning! Applied for jobs the whole day post that then,,,,,,,,,,,,,,,,,,,,,,,,
,Wednesday,01/15/2025,"Missed math class and stats class, ani was at home with me. We slept at 2 then got up at 4:50, went for stats tutorial, came back and spoke to srishti a bit - found it a bit demeaning to me personally, the whole 28th and 29th thiing but its fine I guess. Played a bit then slept while listening to her essays",,,,,,,,,,,,,,,,,,,,,,,,
,Thursday,01/16/2025,"Went for stats class, then met umang, had food with him, went to ikb and worked for solid 7 hours. shariq came, studied and chilled with him. Left my phone then ran for it then he dropped me and then a slept",,,,,,,,,,,,,,,,,,,,,,,,
,Friday,01/17/2025,"went for math class, didnt understand shit, went for stats class. then went to the nest and had a samosa. waited forv ani, went to manan played table tennis with him and some friends. Then ani came, we got some chips, stayed in the nest saw this music initiative thing. came home had biriyani, then some cereal and slept. Had more cereal at night",,,,,,,,,,,,,,,,,,,,,,,,
,Saturday,01/18/2025,"got up and went to shoppers and got eggos and then came back, then did some work, then got ready for the flight then ubered there, watched house movie half, then flew",,,,,,,,,,,,,,,,,,,,,,,,
,Sunday,01/19/2025,"flew, watched edge of tomorrow, la palma, joker 2, frozen 2 a bit.",,,,,,,,,,,,,,,,,,,,,,,,
,Monday,01/20/2025,"landed 20th morning. Relaxed in room. Didn't have breakfast. had biriyani for lunch, mama had dal chawal, had paneer sabzi. Papa, mama, ria bought raymonds suit for Ravi, went to varsha. I was alone at home. Then went to city vibes for clothes shopping for me. bought kurtas and all. had little noodles for dinner then slept.",,,,,,,,,,,,,,,,,,,,,,,,
,Tuesday,01/21/2025,"had heavy breakfast, paratha, chole bhature, chai, sausage, hash brown, etc. Then rested a bit, then got ready - shirt,pant. did ceremony here, then went to their place - baaraat was there, hand handprint on my shirt, had lots of gun, had lunch there - paneer, roti etc, lassi and all with their family. Then came back changed and went to vijayran palace. Looked around, played red light green light with kids, had a coffee, went to chinese place - really good food. Came back and did assignment and slept ",,,,,,,,,,,,,,,,,,,,,,,,
,Wednesday,01/22/2025,RIa Marriage,,,,,,,,,,,,,,,,,,,,,,,,
,Thursday,01/23/2025,Ria Marriage,,,,,,,,,,,,,,,,,,,,,,,,
,Friday,01/24/2025,"Went to Vijayran Palace. Ganesh Puja and Sangeet. Lot of dancing, lots of fun",,,,,,,,,,,,,,,,,,,,,,,,
,Saturday,01/25/2025,Haldi and Shaadi at night,,,,,,,,,,,,,,,,,,,,,,,,
,Sunday,01/26/2025,Spoke to Ani in the morning. Went for breakfast and said bye to everyone.Left hotel and then went to grand hotel. horrible. then went to Sarovar Portico again. Chilled there and ate vey well. Studied in the night and then slept,,,,,,,,,,,,,,,,,,,,,,,,
,Monday,01/27/2025,"Packed, had food flew",,,,,,,,,,,,,,,,,,,,,,,,
,Tuesday,01/28/2025,"Reached 12pm, met ani after her work. Caught up, had cereal, watched modern family",,,,,,,,,,,,,,,,,,,,,,,,
,Wednesday,01/29/2025,"rented uhaul, moved everything and then went back, had chicken manchurian, momos and maggi for dinner",,,,,,,,,,,,,,,,,,,,,,,,
,Thursday,01/30/2025,"Went to Ponderosa, studied, watched econ 302 videos, did uhaul work, did concession work, went to stat 443, came back then ani came for a bit, then I slept for a bit then studied, ani came, chilled with her then she slept. Studied till 11:30pm",,,,,,,,,,,,,,,,,,,,,,,,
,Friday,01/31/2025,"got up at 3am, studied till match. watched match and kinda did work side by side. slept from 9 to 3 then 5 to 7. played fifa, rocket league, wwe with shariq, umang, sarang. adeesh and dwayne came, played poker with them. then shariq drove me to anis, came back home now studying - 3:30am",,,,,,,,,,,,,,,,,,,,,,,,
,Saturday,02/01/2025,Ani came at 10:30. Chilled with her. studied and stuff. dont remember,,,,,,,,,,,,,,,,,,,,,,,,
,Sunday,02/02/2025,Cooked chicken and pasta in the morning,,,,,,,,,,,,,,,,,,,,,,,,
,Monday,02/03/2025,Was with ani whole day. Played table tennis with Nubbh,tgm5ytj6i5uh,,,,,,,,,,,,,,,,,,,,,,,
,Tuesday,02/04/2025,Very sick. Slept whole day and studied a bit. Watched sidemen among us. Watched royal rumble and slept at 5. ,,,,,,,,,,,,,,,,,,,,,,,,
,Wednesday,02/05/2025,"subway and chicken in morning.Got french vanilla, met aaryan, went to ikb, grinded it out till manan came. Studied with him till 3:45. Went for stat class. met up with aaron and josh and james. Spoke to shilpi mainji and went to sesame. had fish and noodles. studied and chilled till 7:30. Came back and slept by 9",,,,,,,,,,,,,,,,,,,,,,,,
,Thursday,02/06/2025,Met Shariq and Umang in the evening. Had some whiskey and stuff and played fifa tipsy. watched sausage party and adeesh came later too. Ate good food. Biriyani and Nutella naan lol.,,,,,,,,,,,,,,,,,,,,,,,,
,Friday,02/07/2025,Chilled with dwayne adeesh and manan in the evening. Had chocos with nubbh. Called ani at night and she came over and we sorted stuff out.,,,,,,,,,,,,,,,,,,,,,,,,
,Saturday,02/08/2025,Went to burnaby. Had dinner at Birdies with everyone. Went back home and slept early as vv sleepy. Was with ani in the morning,,,,,,,,,,,,,,,,,,,,,,,,
,Sunday,02/09/2025,Chilled and did basically nothing in the morning. had food watched something etc etc. went back to anis in the evening and spoke to her about stuff. Then went to umangs and wished him hbd,,,,,,,,,,,,,,,,,,,,,,,,
,Monday,02/10/2025,Was studying with Ani in the evening. We met up at the nest. She got soup. Saw Dwayne and Isaac as well. Bumped into Umang and Divya. Got a chipotle too. Had a bit.,,,,,,,,,,,,,,,,,,,,,,,,
,Tuesday,02/11/2025,"Went for stat class. then went home and ate food. chilled with nubbh for a bit. Went to ikb, met guarav and shariq and studied stat 443. went back tired and slept after preparing a bit for the interview",,,,,,,,,,,,,,,,,,,,,,,,
,Wednesday,02/12/2025,Had recruiter call in the morning with Nicola Wealth. Went for math - got food for ani - gobi manchurian and egg schezwan and chai latte and had sesame. Went for class from 4-6. Then went back to hers. had the rest of the food and watched something.,,,,,,,,,,,,,,,,,,,,,,,,
,Thursday,02/13/2025,got up nubbh came and played some fifa. Came back from class and he told me about his incident. Did STAT assignment for a while. Then met dwayne and adeesh and gymmed played some rocket league and showed me his electric scooter.,,,,,,,,,,,,,,,,,,,,,,,,
,Friday,02/14/2025,interview in the morning. Went to hip baby and safeway for valentine shopping. cooked pasta - vodka one. Suited up. Went to an amazing hotel with ani - loden. Had drinks at Cin Cin. Came back and slept. Got up and got dosas and shawarma. Went to anis and saw your name. Then went to ayush's place - fifa and watched a bit of beef at night. Had maggi and chocos ,,,,,,,,,,,,,,,,,,,,,,,,
,Saturday,02/15/2025,Above,,,,,,,,,,,,,,,,,,,,,,,,
,Sunday,02/16/2025,Woke up at mine. I think I studied all day or something. Felt very bad for sure. Spoke to nubbh for a while and studied stat i think yeah.,,,,,,,,,,,,,,,,,,,,,,,,
,Monday,02/17/2025,"Went to ikb, went for swimming with her and studied in ikb before that. Was studying STAT 443. Reached IKB around 1. Had shawarma and pasta for lunch",,,,,,,,,,,,,,,,,,,,,,,,
,Tuesday,02/18/2025,Spoke to Ani a lot on call and tried to patch things up. Got better. Tried to study the whole day and I think I got some amount of work done. STAT 443 was very hard,,,,,,,,,,,,,,,,,,,,,,,,
,Wednesday,02/19/2025,"Went to squamish with the guys. Left at 12 to shariqs, went to squamish by 4. Tubing closed so checked out a lot of other things there. Ended up Having a stout beer then went back to shariqs. Played fifa had popeyes played among us and went back to campus. Watched bit of ind vs ban and slept",,,,,,,,,,,,,,,,,,,,,,,,
,Thursday,02/20/2025,Went for ryus in the evening with ani. had pork and sushi and prawn curry. Went to the gym at Arc UBC. Studied before that with Shariw,,,,,,,,,,,,,,,,,,,,,,,,
,Friday,02/21/2025,"Got up at anis. Went to subway then studied at cs building till 3. Earthquake happened 4.8 magnitude. Met Ansh and Daksh. Swam and had Kinton Ramen then went back worked and watched bit of the game at night and slept. Met Ayush, Nubbh and Kush for a bit then went up.",,,,,,,,,,,,,,,,,,,,,,,,
,Saturday,02/22/2025,Got up at 11am. Had 3 eggs. Studied and met nubbh. Had paneer and roti. Studied till 6. Gymmed till 7. Met umang and divya and ani and evod there. Then went mumu and had korean fried chicken and rose tteokbookki. Ubered back and watched india vs pakistan, ,,,,,,,,,,,,,,,,,,,,,,,
,Sunday,02/23/2025,,,,,,,,,,,,,,,,,,,,,,,,,
,Monday,02/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,
,Tuesday,02/25/2025,,,,,,,,,,,,,,,,,,,,,,,,,
,Wednesday,02/26/2025,"Made Maggi for Ani after her Psyc 218 midterm. Shariq came over and helped him with some interview prep. Went for Stat 305 then did lab, then studied math 303 all night",,,,,,,,,,,,,,,,,,,,,,,,
,Thursday,02/27/2025,"Got Nicola Wealth Job. Went for STAT 443 class from 12:30 to 2pm. Then went to nest, ate food, went to brock and did math with aaron and his friends. Then had food with Ani at Kinton Ramen. Then went home and slept.",,,,,,,,,,,,,,,,,,,,,,,,
,Friday,02/28/2025,"Studied Math 303 and gave the midterm. Met Sunny nubbh and angel, and got high. Went home and watched invincibles and played fifa with nubbh. Ordered Jolly Indian Bistro. ",,,,,,,,,,,,,,,,,,,,,,,,
,Saturday,03/01/2025,Ani ordered pav bhajis and it was samazing. I didn't sleep enough. I got subway and bubble tea.  I went back home and tried to study for a bit. ,,,,,,,,,,,,,,,,,,,,,,,,
,Sunday,03/02/2025,Studied stat 443 the whole day. At night went and wished suhani happy birthday and then came back,,,,,,,,,,,,,,,,,,,,,,,,
,Monday,03/03/2025,"studied stat 443 again the whole day. Went for 305 class then brock - kanav,suhani,vanshika and did labs and stuff. Then went to marine commons and studied more.Then slept",,,,,,,,,,,,,,,,,,,,,,,,
,Tuesday,03/04/2025,"Gave STAT 443 Midterm. Was horrible. Did Lab after and with Vanshika and suhani. Got food and played bit of rocket league. Planned anis birthday a bit. Got ready, got the car, drove to restaurant and had food. Then drove around. Went to cheesecake etc. and everyone wished her hbd.",,,,,,,,,,,,,,,,,,,,,,,,
,Wednesday,03/05/2025,"Got up at anis. Had subway and watched a bit of modern family. Did econ hw that was all wrong till 3:30. Went for class from 4-5. Went home and slept, Then got up and studied in marine drive till 1am. Ok study sesh because I was so lost",,,,,,,,,,,,,,,,,,,,,,,,
,Thursday,03/06/2025,"Got up, made eggs and had milk. Gave cibc interview. Did ECON homework from 4-7. Started studying stat 305 from 9-12. Slept by 1:15. Played rocket league a bit before",,,,,,,,,,,,,,,,,,,,,,,,
,Friday,03/07/2025,"Had stat 305 midterm, studied in the morning. Went to watch the basketball match, ubc vs calgary with ani, krishna pulled up as well. Watched match and UBC lost. Went back home with ani and got into an arguement. shawarma and chipotle night,",,,,,,,,,,,,,,,,,,,,,,,,
,Saturday,03/08/2025,"Stayed at anis full morning. Got kosoo. We were kekeing and then I finished my food fast. Then I was having cheetos and she had a problem. Then I didn't want to eat food because I was full and she had a problem. Then, we argued about some gender some which was so useless. Then Shariqs birthday - champaigne popped, Had cake, rocket league, snakes and ladders, drank a bit, watched the match, got up early and watched the game. slept and then got up at 2.  ",,,,,,,,,,,,,,,,,,,,,,,,
,Sunday,03/09/2025,Karaoke with Ani in the evening. Dinner at Jeoys. The arguement,,,,,,,,,,,,,,,,,,,,,,,,
,Monday,03/10/2025,"Morning - the arguement, barely slept. argued again - chatgpt, stupid stuff - crwr, expectations. Went back home - spoke to umang - gave advice, spoke to adeesh, studied in commons but could barely focus, did crwr assignment, did stat 443, did stat 305 assignment. Spoke to mom",,,,,,,,,,,,,,,,,,,,,,,,
,Tuesday,03/11/2025,Studied the whole day. didnt leave because I was so behind. Met neel when I went down - studied with him from 5pm - Econ. Then met Xya and spoke to her from 8:30 pm to 12:30 am and gave me really good advice. Slept then,,,,,,,,,,,,,,,,,,,,,,,,
,Wednesday,03/12/2025,"Studied Econ the whole day, played some rocket league with sarang. Played a bit alone too. Met ",,,,,,,,,,,,,,,,,,,,,,,,
,Thursday,03/13/2025,Gave econ midterm. came back home and chilled with adeesh and anirudh. Went to anis... Came back home and met dwayne and spoke to him for an hour. Then played some rocket league with sarang. Spoke to nubbh till late night. Slept,,,,,,,,,,,,,,,,,,,,,,,,
,Friday,03/14/2025,got up 11:30 and gave interview at 12. It went well. then spoke to ayush for a while. Then went for stat class at 4. Slept in life till 6. Went to anis to drop her stuff back. Stayed at her place till next day 11am. Went home then went for holi. ,,,,,,,,,,,,,,,,,,,,,,,,
,Saturday,03/15/2025,Played holi at amit mamas. Ate tasty food. Watched pixels movie. tried to play monopoly but failed. Slept,,,,,,,,,,,,,,,,,,,,,,,,
,Sunday,03/16/2025,"Had eggs,bread, and stuff for breakfast. left to ubc, met nubbh and aarnav at koerner. had triple os before meeting them. Then had butter chicken when i went home. slept. Called ani late at night. Slept at 2:45 am",,,,,,,,,,,,,,,,,,,,,,,,
,Monday,03/17/2025,"got up at 10am. Spoke to mama papa and ria. went to nubbhs for a bit. Went for math class. went back home and ate food. just closed by eyes till class. went for stat class, roamed around with shariq",,,,,,,,,,,,,,,,,,,,,,,,
,Tuesday,03/18/2025,studied maths,,,,,,,,,,,,,,,,,,,,,,,,
,Wednesday,03/19/2025,studied maths,,,,,,,,,,,,,,,,,,,,,,,,
,Thursday,03/20/2025,Was studying for maths in commons ,,,,,,,,,,,,,,,,,,,,,,,,
,Friday,03/21/2025,gave math midterm and it went pretty well. Then met sunny at nest. Had shawarma and watched invincible. Then went for stat class. Went for swimming with gaurav and umang. tried that carey race which was a flop. Met some japanese guys who were pretty chill. Came back home and cooked some pasta. Played guess with umang xya gaurav and shariq. Slept pretty late,,,,,,,,,,,,,,,,,,,,,,,,
,Saturday,03/22/2025,studied whole day. at night went for nilabs party for a bit. Then came back played rocket league with dwayne adeesh and anirudh till 4 and slept,,,,,,,,,,,,,,,,,,,,,,,,
,Sunday,03/23/2025,Studied the whole day from 10am to 6 pm commons and ordered donair. Then went to anis at night. she did a fashion show,,,,,,,,,,,,,,,,,,,,,,,,
,Monday,03/24/2025,Was at anis till 4pm gave stat midterm then went grocery shopping. Then swimming then came back and had maggi and eggs and slept,,,,,,,,,,,,,,,,,,,,,,,,
,Tuesday,03/25/2025,"Went to Arts Co-op in the morning, went to nest and got sandwich and hot chocolate. then went to brock and did stat 443 and lab10. Drove with Shariq and then played some fifa and rocket league. Slept from 6 to 7. Studied from 7 to 9. Met adeesh and gaurav. spoke to ani.",,,,,,,,,,,,,,,,,,,,,,,,
,Wednesday,03/26/2025,"Went for math class which was absolutely useless. Went the the gym, met sunny and angelina.  went to ikb. helped adeesh and anirudh on their idea.",,,,,,,,,,,,,,,,,,,,,,,,
,Thursday,03/27/2025,"Went for STAT 443, went to the gym, hit legs,went for haircut, played golf with shariq,played tt with gaurav and dwayne, then some rocket league",,,,,,,,,,,,,,,,,,,,,,,,
,Friday,03/28/2025,"Got CIBC finalized for summer. Went for STAT class. Went to gym, nest and got pizza. Met gaurav, chris, umang shariq, exya and arnav at my place. Weird encouinters, fifa, wheel of fortune. Dwayne and adeesh came and played rocket league with them",,,,,,,,,,,,,,,,,,,,,,,,
,Saturday,03/29/2025,"Got up, spoke to ani, hard conversation. Went for Holi. Had chicko chicken. went to sleep got  up and then went to nubbhs for a bit, played some rocket league watched some invincble. Going to make final exam schedule now",,,,,,,,,,,,,,,,,,,,,,,,
,Sunday,03/30/2025,anis,,,,,,,,,,,,,,,,,,,,,,,,
,Monday,03/31/2025,anis,,,,,,,,,,,,,,,,,,,,,,,,
,Tuesday,04/01/2025,anis - big way hotpot,,,,,,,,,,,,,,,,,,,,,,,,
,Wednesday,04/02/2025,studied,,,,,,,,,,,,,,,,,,,,,,,,
,Thursday,04/03/2025,studied,,,,,,,,,,,,,,,,,,,,,,,,
,Friday,04/04/2025,studied,,,,,,,,,,,,,,,,,,,,,,,,
,Saturday,04/05/2025,studied,,,,,,,,,,,,,,,,,,,,,,,,
,Sunday,04/06/2025,studied,,,,,,,,,,,,,,,,,,,,,,,,
,Monday,04/07/2025,studied,,,,,,,,,,,,,,,,,,,,,,,,
,Tuesday,04/08/2025,studied,,,,,,,,,,,,,,,,,,,,,,,,
,Wednesday,04/09/2025,studied,,,,,,,,,,,,,,,,,,,,,,,,
,Thursday,04/10/2025,studied,,,,,,,,,,,,,,,,,,,,,,,,
,Friday,04/11/2025,studied,,,,,,,,,,,,,,,,,,,,,,,,
,Saturday,04/12/2025,studied,,,,,,,,,,,,,,,,,,,,,,,,
,Sunday,04/13/2025,studied,,,,,,,,,,,,,,,,,,,,,,,,
,Monday,04/14/2025,studied,,,,,,,,,,,,,,,,,,,,,,,,
,Tuesday,04/15/2025,anis,,,,,,,,,,,,,,,,,,,,,,,,
,Wednesday,04/16/2025,anis,,,,,,,,,,,,,,,,,,,,,,,,
,Thursday,04/17/2025,studied,,,,,,,,,,,,,,,,,,,,,,,,
,Friday,04/18/2025,studied,,,,,,,,,,,,,,,,,,,,,,,,
